season,league_indicator,conference_id,conference_display,division_id,division_display,team_id,is_division_champion,is_conference_champion,notes
1933,N,,,NFLE,NFL East,NG042,1,0,
1933,N,,,NFLE,NFL East,BD061,0,0,
1933,N,,,NFLE,NFL East,BR065,0,0,
1933,N,,,NFLE,NFL East,PE066,0,0,
1933,N,,,NFLE,NFL East,PP067,0,0,
1933,N,,,NFLW,NFL West,CB026,1,0,
1933,N,,,NFLW,NFL West,PS062,0,0,
1933,N,,,NFLW,NFL West,GP020,0,0,
1933,N,,,NFLW,NFL West,CR068,0,0,
1933,N,,,NFLW,NFL West,CC004,0,0,
1934,N,,,NFLE,NFL East,NG042,1,0,
1934,N,,,NFLE,NFL East,BD061,0,0,
1934,N,,,NFLE,NFL East,BR065,0,0,
1934,N,,,NFLE,NFL East,PE066,0,0,
1934,N,,,NFLE,NFL East,PP067,0,0,
1934,N,,,NFLW,NFL West,CB026,1,0,
1934,N,,,NFLW,NFL West,DL069,0,0,
1934,N,,,NFLW,NFL West,GP020,0,0,
1934,N,,,NFLW,NFL West,CR068,0,0,
1934,N,,,NFLW,NFL West,CC004,0,0,
1934,N,,,NFLW,NFL West,SG070,0,0,
1935,N,,,NFLE,NFL East,NG042,1,0,
1935,N,,,NFLE,NFL East,BD061,0,0,
1935,N,,,NFLE,NFL East,BR065,0,0,
1935,N,,,NFLE,NFL East,PE066,0,0,
1935,N,,,NFLE,NFL East,PP067,0,0,
1935,N,,,NFLW,NFL West,CB026,0,0,
1935,N,,,NFLW,NFL West,DL069,1,0,
1935,N,,,NFLW,NFL West,GP020,0,0,
1935,N,,,NFLW,NFL West,CC004,0,0,
1936,N,,,NFLE,NFL East,NG042,0,0,
1936,N,,,NFLE,NFL East,BD061,0,0,
1936,N,,,NFLE,NFL East,BR065,1,0,
1936,N,,,NFLE,NFL East,PE066,0,0,
1936,N,,,NFLE,NFL East,PP067,0,0,
1936,N,,,NFLW,NFL West,CB026,0,0,
1936,N,,,NFLW,NFL West,DL069,0,0,
1936,N,,,NFLW,NFL West,GP020,1,0,
1936,N,,,NFLW,NFL West,CC004,0,0,
1937,N,,,NFLE,NFL East,NG042,0,0,
1937,N,,,NFLE,NFL East,BD061,0,0,
1937,N,,,NFLE,NFL East,WR071,1,0,
1937,N,,,NFLE,NFL East,PE066,0,0,
1937,N,,,NFLE,NFL East,PP067,0,0,
1937,N,,,NFLW,NFL West,CB026,1,0,
1937,N,,,NFLW,NFL West,DL069,0,0,
1937,N,,,NFLW,NFL West,GP020,0,0,
1937,N,,,NFLW,NFL West,CC004,0,0,
1937,N,,,NFLW,NFL West,CR072,0,0,
1938,N,,,NFLE,NFL East,NG042,1,0,
1938,N,,,NFLE,NFL East,BD061,0,0,
1938,N,,,NFLE,NFL East,WR071,0,0,
1938,N,,,NFLE,NFL East,PE066,0,0,
1938,N,,,NFLE,NFL East,PP067,0,0,
1938,N,,,NFLW,NFL West,CB026,0,0,
1938,N,,,NFLW,NFL West,DL069,0,0,
1938,N,,,NFLW,NFL West,GP020,1,0,
1938,N,,,NFLW,NFL West,CC004,0,0,
1938,N,,,NFLW,NFL West,CR072,0,0,
1939,N,,,NFLE,NFL East,NG042,1,0,
1939,N,,,NFLE,NFL East,BD061,0,0,
1939,N,,,NFLE,NFL East,WR071,0,0,
1939,N,,,NFLE,NFL East,PE066,0,0,
1939,N,,,NFLE,NFL East,PP067,0,0,
1939,N,,,NFLW,NFL West,CB026,0,0,
1939,N,,,NFLW,NFL West,DL069,0,0,
1939,N,,,NFLW,NFL West,GP020,1,0,
1939,N,,,NFLW,NFL West,CC004,0,0,
1939,N,,,NFLW,NFL West,CR072,0,0,
1940,N,,,NFLE,NFL East,NG042,0,0,
1940,N,,,NFLE,NFL East,BD061,0,0,
1940,N,,,NFLE,NFL East,WR071,1,0,
1940,N,,,NFLE,NFL East,PE066,0,0,
1940,N,,,NFLE,NFL East,PS073,0,0,
1940,N,,,NFLW,NFL West,CB026,1,0,
1940,N,,,NFLW,NFL West,DL069,0,0,
1940,N,,,NFLW,NFL West,GP020,0,0,
1940,N,,,NFLW,NFL West,CC004,0,0,
1940,N,,,NFLW,NFL West,CR072,0,0,
1941,N,,,NFLE,NFL East,NG042,1,0,
1941,N,,,NFLE,NFL East,BD061,0,0,
1941,N,,,NFLE,NFL East,WR071,0,0,
1941,N,,,NFLE,NFL East,PE066,0,0,
1941,N,,,NFLE,NFL East,PS073,0,0,
1941,N,,,NFLW,NFL West,CB026,1,0,
1941,N,,,NFLW,NFL West,DL069,0,0,
1941,N,,,NFLW,NFL West,GP020,0,0,
1941,N,,,NFLW,NFL West,CC004,0,0,
1941,N,,,NFLW,NFL West,CR072,0,0,
1942,N,,,NFLE,NFL East,NG042,0,0,
1942,N,,,NFLE,NFL East,BD061,0,0,
1942,N,,,NFLE,NFL East,WR071,1,0,
1942,N,,,NFLE,NFL East,PE066,0,0,
1942,N,,,NFLE,NFL East,PS073,0,0,
1942,N,,,NFLW,NFL West,CB026,1,0,
1942,N,,,NFLW,NFL West,DL069,0,0,
1942,N,,,NFLW,NFL West,GP020,0,0,
1942,N,,,NFLW,NFL West,CC004,0,0,
1942,N,,,NFLW,NFL West,CR072,0,0,
1943,N,,,NFLE,NFL East,NG042,0,0,
1943,N,,,NFLE,NFL East,BD061,0,0,
1943,N,,,NFLE,NFL East,WR071,1,0,
1943,N,,,NFLE,NFL East,PE074,0,0,
1943,N,,,NFLW,NFL West,CB026,1,0,
1943,N,,,NFLW,NFL West,DL069,0,0,
1943,N,,,NFLW,NFL West,GP020,0,0,
1943,N,,,NFLW,NFL West,CC004,0,0,
1944,N,,,NFLE,NFL East,NG042,1,0,
1944,N,,,NFLE,NFL East,BT076,0,0,
1944,N,,,NFLE,NFL East,WR071,0,0,
1944,N,,,NFLE,NFL East,PE066,0,0,
1944,N,,,NFLE,NFL East,BY077,0,0,
1944,N,,,NFLW,NFL West,CB026,0,0,
1944,N,,,NFLW,NFL West,DL069,0,0,
1944,N,,,NFLW,NFL West,GP020,1,0,
1944,N,,,NFLW,NFL West,CC075,0,0,
1944,N,,,NFLW,NFL West,CR072,0,0,
1945,N,,,NFLE,NFL East,NG042,0,0,
1945,N,,,NFLE,NFL East,PS073,0,0,
1945,N,,,NFLE,NFL East,WR071,1,0,
1945,N,,,NFLE,NFL East,PE066,0,0,
1945,N,,,NFLE,NFL East,BY078,0,0,
1945,N,,,NFLW,NFL West,CB026,0,0,
1945,N,,,NFLW,NFL West,DL069,0,0,
1945,N,,,NFLW,NFL West,GP020,0,0,
1945,N,,,NFLW,NFL West,CC04,0,0,
1945,N,,,NFLW,NFL West,CR072,1,0,
1946,N,,,NFLE,NFL East,NG042,1,0,
1946,N,,,NFLE,NFL East,PS073,0,0,
1946,N,,,NFLE,NFL East,WR071,0,0,
1946,N,,,NFLE,NFL East,PE066,0,0,
1946,N,,,NFLE,NFL East,BY080,0,0,
1946,N,,,NFLW,NFL West,CB026,1,0,
1946,N,,,NFLW,NFL West,DL069,0,0,
1946,N,,,NFLW,NFL West,GP020,0,0,
1946,N,,,NFLW,NFL West,CC04,0,0,
