season,type,teamIDs,newID,league,fromLeague,toLeague
1920,JOIN,AP001,,AP,,
1920,JOIN,DS002,,AP,,
1920,JOIN,BA003,,AP,,
1920,JOIN,CC004,,AP,,
1920,JOIN,RI005,,AP,,
1920,JOIN,DT006,,AP,,
1920,JOIN,RJ007,,AP,,
1920,JOIN,CB008,,AP,,
1920,JOIN,DH009,,AP,,
1920,JOIN,CT010,,AP,,
1920,JOIN,CT011,,AP,,
1920,JOIN,HP012,,AP,,
1920,JOIN,CP013,,AP,,
1920,JOIN,MF014,,AP,,
1921,LEAVE,DH009,,AP,,
1921,LEAVE,CT011,,AP,,
1921,RENAME,DS002,CS015,AP,,
1921,RENAME,CT010,CI016,AP,,
1921,JOIN,DT017,,AP,,
1921,JOIN,CC018,,AP,,
1921,JOIN,EG019,,AP,,
1921,JOIN,GP020,,AP,,
1921,JOIN,LB021,,AP,,
1921,JOIN,MM022,,AP,,
1921,JOIN,NG023,,AP,,
1921,JOIN,TK024,,AP,,
1921,JOIN,WS025,,AP,,
1922,LEAVE,WS025,,AP,,
1922,LEAVE,TK024,,AP,,
1922,LEAVE,CC018,,AP,,
1922,LEAVE,NG023,,AP,,
1922,LEAVE,DT017,,AP,,
1922,LEAVE,MF014,,AP,,
1922,LEAVE,CI016,,AP,,
1922,SWITCH,AP001,,,AP,N
1922,SWITCH,BA003,,,AP,N
1922,SWITCH,CC004,,,AP,N
1922,SWITCH,RI005,,,AP,N
1922,SWITCH,DT006,,,AP,N
1922,SWITCH,RJ007,,,AP,N
1922,SWITCH,CB008,,,AP,N
1922,SWITCH,HP012,,,AP,N
1922,SWITCH,CP013,,,AP,N
1922,SWITCH,EG019,,,AP,N
1922,SWITCH,GP020,,,AP,N
1922,SWITCH,LB021,,,AP,N
1922,SWITCH,MM022,,,AP,N
1922,SWITCH,CS015,,,AP,N
1922,RENAME,CS015,CB026,N,,
1922,JOIN,MB027,,N,,
1922,JOIN,OI028,,N,,
1922,JOIN,RL029,,N,,
1922,JOIN,TM030,,N,,
