season,league_indicator,team_id,team_display,title_label,notes
1920,AP,AP001,Akron Pros,,
1921,AP,CS015,Chicago Staleys,,
1922,N,CB008,Canton Bulldogs,,
1923,N,CB008,Canton Bulldogs,,
1924,N,CB035,Cleveland Bulldogs,,
1925,N,CC004,Chigoca Cardinals,,
1926,N,FY037,Frankford Yellow Jackets,,
1927,N,NG042,New York Giants,,
1928,N,PS044,Providence Steam Roller,,
1929,N,GP020,Green Bay Packers,,
1930,N,GP020,Green Bay Packers,,
1931,N,GP020,Green Bay Packers,,
1932,N,CB026,Chicago Bears,,
